filename,sub,ses,task,stim
sub-5100_04_ses-1_task-alice.fif,5100_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5121_03_ses-1_task-alice.fif,5121_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5153_05_ses-1_task-alice.fif,5153_05,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5172_03_ses-1_task-alice.fif,5172_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5193_03_ses-1_task-alice.fif,5193_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5197_03_ses-1_task-alice.fif,5197_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5379_03_ses-1_task-alice.fif,5379_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5390_03_ses-1_task-alice.fif,5390_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5433_04_ses-1_task-alice.fif,5433_04,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5436_03_ses-1_task-alice.fif,5436_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5496_03_ses-1_task-alice.fif,5496_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5543_03_ses-1_task-alice.fif,5543_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
sub-5594_03_ses-1_task-alice.fif,5594_03,1,alice,track1.wav;track2.wav;track3.wav;track4.wav;track5.wav;track6.wav;track7.wav;track8.wav;track9.wav;track10.wav;track11.wav;track12.wav;track13.wav;track14.wav;track15.wav
